version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/0013943c1658926dabd4dd412c0cbdda,%PDF-1.4,25,25,13,13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/0040bbcb349964d744142c7e2e19fbb4,%PDF-1.3,5,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/0054d94c8b37dbfc21fe34b096a99b01,%PDF-1.7,9,9,3,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/009a5ea2e475fad6f882fc43363bf56a,%PDF-1.4,12,12,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/00b891db3b2f3cb79e3133adcdf896d6,%PDF-1.4,39,39,15,15,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/00cbce94edea10138cdb83052afda223,%PDF-1.7,33,33,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/00cf3375991a326c64d299c0ae1b5615,%PDF-1.3,20,19,7,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/0112e05277dd0b901527e4b629460074,%PDF-1.3,19,19,6,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/0170370e91d7a1e63d2fdeb21ecd63f6,%PDF-1.7,9,9,3,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/clean/018149527da89b8aae062e3afd6dc6c8,%PDF-1.6,281,281,124,124,2,2,2,13,2,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/394abf5b8db69af3d7dc99e6fc478d1e,%PDF-1.4,139,139,48,48,2,2,2,20,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/490d73d74bcf67bf9aa10a29d0c812ca,%PDF-1.4,10,10,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/900b511f4a6b94f97968d0734da799e5,%PDF-1.1,5,5,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/97d341822223a62c94b7ebed95a45850,%PDF-1.6,186,186,140,140,0,0,2,43,2,23,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/fd9cf27f57ff4cee228bd42b02015e1a,%PDF-1.4,10,10,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/35835fecef55c45f0c8218cd7ca6527b,%PDF-1.6,1585,1585,1095,1095,0,0,2,487,0,405,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/63630f77d3170398e4188763f207ef83,%PDF-1.7,1023,1023,99,99,2,2,2,21,0,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/77474342726c60e8641a39dbddf20e38,%PDF-1.5,38345,38345,464,464,2,2,2,46,0,0,0,0,1,0,0,46,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/a3193e772456d2eac5f1ff3b4e4e6cc9,%PDF-1.7,1196,1195,198,198,4,4,3,162,0,5,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/cd32dd2ca3c467fdf7f06648176b5a46,%PDF-1.4,2532,2532,181,181,2,2,2,56,0,50,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20230930/malicious/f80e9d4df24226f4e2140808bbc921d1,%PDF-1.4,1765,1765,499,499,1,1,1,152,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
