version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/91b86f9bdb7b47f377fc670ba141e5f2,%PDF-1.5,14,14,12,12,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/3b988140b187abaaa5f62145e4fbe912,%PDF-1.7,63,63,23,23,3,3,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/877c6807201706d82deed63bff84f236,%PDF-1.4,318,318,139,139,2,2,2,16,0,35,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/dff495deee5fec9fd9d1b24d7c653a16,%PDF-1.7,382,382,121,121,2,2,2,36,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/fecf264fc3e0e6b36fbcae576170e0d6,%PDF-1.7,12,12,5,5,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/f11f0f2ee173eed64355a9f706f936a1,%PDF-1.4,10,10,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/5e74b753097284b6638923d1832186ee,%PDF-1.4,1727,1727,393,393,1,1,1,195,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/6ded4120021c47bc31b57c7fb27fa5a1,%PDF-1.7,270,270,49,49,2,2,2,8,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/589853440af28e53a1a99a28357b6e52,%PDF-1.4,10290,10289,2246,2246,2,2,2,195,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/fefe7fc3b9287c688ff44182ede4dd04,%PDF-1.4,241,240,231,230,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/fef49bc0983773eec8aedda08d753eb3,%PDF-1.4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/7797b43b72e11545d0a47576e807cc26,%PDF-1.7,287,287,112,103,1,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ffd889b9c36d9efe3dd1907cb99e94f1,%PDF-1.2,12,12,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/a19d04fac4ca93e78c853f7c44944091,%PDF-1.7,191,191,190,190,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ff139724f86a9d48cea823ffd915b4f9,%PDF-1.4,55,55,23,22,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ff0605d6460a5c5f743fb00a451b7c30,%PDF-1.7,106,106,96,96,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ff869938c99940f0cbc4cee808fc3024,%PDF-1.4,43,43,19,19,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ffad016354379d072597559ed9cb278e,%PDF-1.3,20,19,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ffe4fbfbd255b4a45fe9365bde7b6f2c,%PDF-1.7,31,30,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
0.2.7,/home/ubuntu/ndisk/PDFproject/dataset/pdf-20231031/ffca2a7bf9053cd3d19850b52f80e381,%PDF-1.7,27,27,8,8,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
