version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count,Malware
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0a2472f6f0347d80c6d2cdd6a93275e6_7340318,%PDF-1.4,816,816,394,394,1,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0b0a54c3e3ae88c742bb4802f696d767_132594,%PDF-1.4,52,52,13,13,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0bacd0da20c6b3c3ee069e18610d9969_57490,%PDF-1.4,45,45,11,11,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0c91db404457882a314eca1ae1a7f8f7_324306,%PDF-1.5,124,124,45,45,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0e06de1bdc1087ee15b54cef3ee55b9f_120477,%PDF-1.5,28,28,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0e353433412c631e5a1ddc5c61eba5b5_65477,%PDF-1.4,63,63,29,29,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0f3dc2b7a73a274e76715e6dd8494453_3120778,%PDF-1.5,541,541,257,257,2,2,2,146,0,29,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0f614fcaf1bc0633f75f3718104e0c4d_22117,%PDF-1.3,7,7,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_0ff8451f04745ceb2aba8219764b020e_561356,%PDF-1.4,590,590,38,38,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_1aa6d59d414990d94180b20b0a03d25d_561516,%PDF-1.4,590,590,38,38,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_1b0addbb55f6e2275e945dfbe80689b9_518010,%PDF-1.3,51,51,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_1d9c6b54c0714e727c63b33c7616dc8d_12379,%PDF-1.4,11,11,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_1dc61ef1404c226d2047ccb0961890ea_730718,%PDF-1.4,75,75,36,36,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_1e970b33c64ce0a4e066677074aca286_148957,%PDF-1.7 ,33,33,9,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_01eb4bc44d0bf7735546099707e88a2e_416728,%PDF-1.4,20,20,17,17,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_1fbe45d5e613f42b35fb80558d108ad7_1235444,%PDF-1.5,230,230,133,133,2,2,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2b2a92a00adbc2a0b19993d2eb6be32f_148611,%PDF-1.7 ,33,33,9,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2b0585efeb5cf64c439b3c9b02df22a3_515501,%PDF-1.5,57,57,14,14,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2bf4943fb9a55fddd51a0f7fc3599771_2544503,%PDF-1.4,58,58,22,22,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_02c0183f78429bb9d42029347c7c52d3_36604,%PDF-1.4,8,8,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2cafcb89c21227f3cc2ccf4d2c9b165e_136324,%PDF-1.5,38,38,8,8,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2d2aac3e1caeced7c7a3c488dbc2399b_78837,%PDF-1.3 ,29,29,9,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2e4eafa42db8dcf931e2c1a0284e3c9f_89393,%PDF-1.5,6,6,6,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2e27248c92f1bc9ad450d3eff888d73c_875320,%PDF-1.3,22,22,13,13,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_2f5306e25872b70f1db06dfc6c85ba79_33355,%PDF-1.4,23,23,10,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_3bd51a95271de6098ca19c87be79bc10_28813,%PDF-1.4,18,18,6,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_3cba6b9ae934ba267cddbc1f9ebe8d1b_5702527,%PDF-1.6,194,194,158,158,0,0,2,34,0,39,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_3d9b1749ec760a8c1a14574a7c280ea6_766561,%PDF-1.4,13,13,4,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_003ead845805f0ad97b188d3c1b9bb97_150237,%PDF-1.7 ,33,33,9,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_3f518ec1f56870d79b66695d8855ddac_88014,%PDF-1.7,44,44,15,15,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_3fe942bd77858cb03f5300bddf17f048_214660,%PDF-1.3,32,32,11,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4a91e938d3ccaa92823318b86f74ca99_148796,%PDF-1.7 ,33,33,9,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4b01b921d9d0be0c9f1fa2de063df2c4_140898,%PDF-1.7 ,33,33,9,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4c199dd3f6a5d62c5c94c409eed8ec05_142898,%PDF-1.7,37,37,24,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4c81406467f9e2fb21c58a95d91fcf15_1103591,%PDF-1.4,18,18,6,6,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4d7f0149b69bb5b9e34fa6a55fa1a903_144726,%PDF-1.6,23,23,8,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_04ed06c98cdb66a449ccd3106cb190df_7079354,%PDF-1.4,128,127,52,52,4,4,5,14,0,12,0,0,0,0,1,0,0,0,4,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4f8c06e6094f3b2cf042a289270a994e_4864,%PDF-1.4,10,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_4fe579ff63a1b5546a2b3e6063469d38_38842,%PDF-1.3,11,11,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_5a196c16b7af11f6566699eeeacf54fe_104689,%PDF-1.3,10,10,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_05ba74df9415ac3a1428a4fced89ecd3_65368,%PDF-1.3 ,35,35,9,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_5c1a1113f58eb83ead5a7875ee31a220_120558,%PDF-1.5,28,28,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_05cb9b880c3901d363bbbf81d25d6b40_122008,%PDF-1.5,28,28,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
